"cellID","T_0","voidfractionPrev","rho","voidfractionNext","ddtVoidfraction","KslNext","UsWeightField_","p","Ksl","Tsource","voidfraction","T","KslPrev","voidfraction_0","U_0:0","U_0:1","U_0:2","U:0","U:1","U:2","expParticleForces:0","expParticleForces:1","expParticleForces:2","UsNext:0","UsNext:1","UsNext:2","impParticleForces:0","impParticleForces:1","impParticleForces:2","UsPrev:0","UsPrev:1","UsPrev:2","Us:0","Us:1","Us:2","Cell Type"
84,583.66,1,0.175,1,0,0,0,2075.8,0,0,1,583.66,0,1,0.0079968,-0.00022385,0.064788,0.0079964,-0.0002235,0.064789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
85,584.1,1,0.175,1,0,0,0,2075.8,0,0,1,584.1,0,1,0.0059075,-0.00022214,0.062952,0.0059068,-0.00022234,0.062954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
86,584.49,1,0.175,1,0,0,0,2075.8,0,0,1,584.49,0,1,0.0041711,-9.2263e-05,0.061949,0.0041713,-9.2855e-05,0.06195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
87,584.83,1,0.175,1,0,0,0,2075.8,0,0,1,584.83,0,1,0.0030121,-0.00024352,0.060685,0.0030127,-0.00024322,0.060684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
88,585.05,1,0.175,1,0,0,0,2075.8,0,0,1,585.05,0,1,0.0022447,-4.973e-05,0.060438,0.002245,-4.9093e-05,0.060437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
89,585.17,1,0.175,1,0,0,0,2075.8,0,0,1,585.17,0,1,0.0017391,-0.00019195,0.060266,0.0017392,-0.00019121,0.060266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
90,585.15,1,0.175,1,0,0,0,2075.8,0,0,1,585.15,0,1,0.00095307,-0.00012239,0.060686,0.00095284,-0.00012174,0.060686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
91,585.01,1,0.175,1,0,0,0,2075.8,0,0,1,585.01,0,1,0.00046325,-0.00021961,0.061052,0.00046254,-0.00021936,0.061054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
92,584.74,1,0.175,1,0,0,0,2075.8,0,0,1,584.74,0,1,-0.00093398,-0.0002136,0.062416,-0.00093469,-0.00021408,0.062418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
93,584.4,1,0.175,1,0,0,0,2075.8,0,0,1,584.4,0,1,-0.0023685,-0.00041249,0.063094,-0.002368,-0.00041331,0.063095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
94,583.97,1,0.175,1,0,0,0,2075.8,0,0,1,583.97,0,1,-0.0046752,-0.00049097,0.065048,-0.0046743,-0.00049043,0.065046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
95,583.54,1,0.175,1,0,0,0,2075.8,0,0,1,583.54,0,1,-0.0071914,-0.00068567,0.065989,-0.0071914,-0.00068485,0.065987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
96,583.11,1,0.175,1,0,0,0,2075.8,0,0,1,583.11,0,1,-0.0099282,-0.00085305,0.067193,-0.0099286,-0.00085245,0.067193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
97,582.77,1,0.175,1,0,0,0,2075.8,0,0,1,582.77,0,1,-0.011433,-0.00086926,0.065648,-0.011433,-0.000869,0.065648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
98,582.51,1,0.175,1,0,0,0,2075.8,0,0,1,582.51,0,1,-0.010037,-0.00086099,0.057653,-0.010038,-0.00086106,0.057654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
99,582.41,1,0.175,1,0,0,0,2075.8,0,0,1,582.41,0,1,-0.0036782,-0.00046779,0.03639,-0.0036783,-0.00046808,0.036391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
100,582.54,1,0.175,1,0,0,0,2075.8,0,0,1,582.54,0,1,0.0030965,0.00039024,0.036425,0.0030966,0.00039044,0.036425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
101,582.65,1,0.175,1,0,0,0,2075.8,0,0,1,582.65,0,1,0.010548,0.00051827,0.05676,0.010548,0.00051832,0.056759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
102,582.89,1,0.175,1,0,0,0,2075.8,0,0,1,582.89,0,1,0.011075,0.00078472,0.065745,0.011075,0.00078451,0.065745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
103,583.25,1,0.175,1,0,0,0,2075.8,0,0,1,583.25,0,1,0.010346,0.00051976,0.065477,0.010346,0.00051933,0.065477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
104,583.65,1,0.175,1,0,0,0,2075.8,0,0,1,583.65,0,1,0.0078286,0.00069809,0.065602,0.0078281,0.00069773,0.065603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
105,584.1,1,0.175,1,0,0,0,2075.8,0,0,1,584.1,0,1,0.0057338,0.00042586,0.063136,0.0057331,0.00042601,0.063138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
106,584.49,1,0.175,1,0,0,0,2075.8,0,0,1,584.49,0,1,0.004077,0.00047081,0.062566,0.0040774,0.00047132,0.062567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
107,584.83,1,0.175,1,0,0,0,2075.8,0,0,1,584.83,0,1,0.0028408,0.00039269,0.060831,0.0028417,0.00039245,0.060829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
108,585.05,1,0.175,1,0,0,0,2075.8,0,0,1,585.05,0,1,0.0021303,0.00032366,0.060926,0.0021306,0.00032309,0.060924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
109,585.17,1,0.175,1,0,0,0,2075.8,0,0,1,585.17,0,1,0.0015009,0.00026825,0.060323,0.001501,0.00026756,0.060322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
110,585.14,1,0.175,1,0,0,0,2075.8,0,0,1,585.14,0,1,0.00082428,0.00024734,0.06088,0.00082399,0.00024672,0.06088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
111,585.02,1,0.175,1,0,0,0,2075.8,0,0,1,585.02,0,1,0.00028005,0.00021104,0.061005,0.00027919,0.00021079,0.061006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
112,584.74,1,0.175,1,0,0,0,2075.8,0,0,1,584.74,0,1,-0.0010451,0.00021995,0.062457,-0.001046,0.00022038,0.062459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
113,584.41,1,0.175,1,0,0,0,2075.8,0,0,1,584.41,0,1,-0.0025287,0.00032815,0.062951,-0.002528,0.00032888,0.062953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
114,583.97,1,0.175,1,0,0,0,2075.8,0,0,1,583.97,0,1,-0.004769,0.00039288,0.064927,-0.0047677,0.0003924,0.064926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
